Value,Status,Strand,Chromosome,Gene,CC0,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,BP0,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BP8,BP9,BP10,BP11,BP12,BP13,BP14,MF0,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14
1520,Verified,C,chr 16,MKK2,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
1382,Verified,C,chr 16,UME1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase I promoter,,,,,,,,,"transcription factor activity, protein binding",,,,,,,,,,,,,,
1061,Verified,C,chr 16,SPP1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,binding,chromatin binding,,,,,,,,,,,,,
3830,Verified,C,chr 16,GIP3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein dephosphorylation,,,,,,,,,binding,protein binding,enzyme binding,,,,,,,,,,,,
497,Verified,W,chr 16,ISU1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,binding,ion binding,,,,,,,,,,,,,
932,Verified,C,chr 16,ODC1,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,,,,,,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
902,Verified,W,chr 16,COX11,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,metabolic process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,cellular respiration,,,,,,,,,,,binding,ion binding,,,,,,,,,,,,,
893,Verified,W,chr 16,RPL5,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
839,Verified,W,chr 16,TAF14,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1688,Verified,C,chr 16,TBF1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
776,Verified,C,chr 16,HHO1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA recombination,,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
2690,Verified,W,chr 16,NAN1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
3098,Verified,W,chr 16,KAP120,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,transporter activity,substrate-specific transporter activity,peptide transporter activity,protein transporter activity,,,,,,,,,,,
761,Verified,W,chr 16,SPC29,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,cytoskeleton,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,cytoskeleton organization,,,,,,,,,,,,structural molecule activity,,,,,,,,,,,,,,
1304,Verified,C,chr 16,RNY1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA catabolic process,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1541,Verified,C,chr 16,TFB2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
668,Verified,C,chr 16,MEI5,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA recombination,,,,,,,,,,,,,,,,,,,,,,,,
1673,Verified,W,chr 16,VPS30,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,,,,,,,,,,,,,,,
1853,Verified,C,chr 16,DBP1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,translational initiation,,,,,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1034,Verified,W,chr 16,MRP51,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,mitochondrial translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
866,Verified,C,chr 16,IDI1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,isomerase activity,,,,,,,,,,,,,
2093,Verified,W,chr 16,HOS3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1001,Verified,W,chr 16,CAR1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
3671,Verified,C,chr 16,GDE1,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
2081,Verified,C,chr 16,SSE1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,cellular process,protein folding,,,,,,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
2549,Verified,C,chr 16,SYH1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,nucleus organization,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,Verified,W,chr 16,MSD1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA aminoacylation,tRNA aminoacylation for protein translation,,,,,,,catalytic activity,ligase activity,,,,,,,,,,,,,
1406,Verified,C,chr 16,FMP30,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1370,Verified,W,chr 16,ELP4,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1490,Verified,W,chr 16,ATG21,cell part,intracellular part,cytoplasmic part,cytoplasmic vesicle,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,binding,ion binding,,,,,,,,,,,,,
548,Verified,C,chr 16,INA17,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,mitochondrion organization,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Verified,W,chr 16,MSY1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA aminoacylation,tRNA aminoacylation for protein translation,,,,,,,catalytic activity,ligase activity,,,,,,,,,,,,,
206,Verified,C,chr 16,ERI1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein lipidation,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
1091,Verified,W,chr 16,PNG1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,proteolysis,proteolysis involved in cellular protein catabolic process,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1370,Verified,C,chr 16,EEB1,,,,,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,monocarboxylic acid metabolic process,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
824,Verified,C,chr 16,SEC62,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,transporter activity,substrate-specific transporter activity,peptide transporter activity,protein transporter activity,,,,,,,,,,,
1943,Verified,W,chr 16,NOG1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,binding,ion binding,,,,,,,,,,,,,
1376,Verified,W,chr 16,SSU1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,ion transport,,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
1451,Verified,W,chr 16,GLR1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,response to stimulus,response to stress,response to oxidative stress,,,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
1104,Verified,C,chr 16,RPS6A,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
